Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,1,02-01-17,08-01-17,107,107,,0,0,0,0,0,1,0,0,1,1,106,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,2,09-01-17,15-01-17,58,58,,0,0,0,0,0,1,0,0,1,1,57,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,3,16-01-17,22-01-17,89,89,,0,0,0,0,0,0,0,0,0,0,89,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,4,23-01-17,29-01-17,69,69,,0,0,0,0,0,0,0,0,0,0,69,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,5,30-01-17,05-02-17,93,93,,0,0,0,0,0,1,0,0,1,1,92,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,6,06-02-17,12-02-17,105,105,,0,1,0,0,1,1,0,0,1,2,103,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,7,13-02-17,19-02-17,76,76,,0,2,0,0,2,1,0,0,1,3,73,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,8,20-02-17,26-02-17,56,56,,0,0,0,0,0,0,0,0,0,0,56,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,9,27-02-17,05-03-17,70,70,,0,0,0,0,0,0,0,0,0,0,70,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,10,06-03-17,12-03-17,60,60,,0,1,0,0,1,0,0,0,0,1,59,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,11,13-03-17,19-03-17,110,110,,0,0,0,0,0,0,0,0,0,0,110,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,12,20-03-17,26-03-17,39,39,,0,0,0,0,0,0,0,0,0,0,39,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,13,27-03-17,02-04-17,76,76,,0,0,0,0,0,0,0,0,0,0,76,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,14,03-04-17,09-04-17,37,37,,0,0,0,0,0,0,0,0,0,0,37,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,15,10-04-17,16-04-17,45,45,,0,0,0,0,0,0,0,0,0,0,45,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,16,17-04-17,23-04-17,35,35,,0,0,0,0,0,0,0,0,0,0,35,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,17,24-04-17,30-04-17,52,52,,0,0,0,0,0,0,0,0,0,0,52,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,18,01-05-17,07-05-17,39,39,,0,0,0,0,0,0,0,0,0,0,39,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,19,08-05-17,14-05-17,44,44,,0,0,0,0,0,0,0,0,0,0,44,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,20,15-05-17,21-05-17,48,48,,0,0,0,0,0,0,0,0,0,0,48,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,21,22-05-17,28-05-17,25,25,,0,0,0,0,0,0,0,0,0,0,25,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,22,29-05-17,04-06-17,46,46,,0,0,0,0,0,0,0,0,0,0,46,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,23,05-06-17,11-06-17,35,35,,0,0,0,0,0,0,0,0,0,0,35,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,24,12-06-17,18-06-17,45,45,,0,0,0,0,0,0,0,0,0,0,45,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,25,19-06-17,25-06-17,31,31,,0,0,0,0,0,0,0,0,0,0,31,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,26,26-06-17,02-07-17,5,5,,0,0,0,0,0,0,0,0,0,0,5,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,27,03-07-17,09-07-17,46,46,,0,0,0,0,0,0,0,0,0,0,46,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,28,10-07-17,16-07-17,20,20,,0,0,0,0,0,0,0,0,0,0,20,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,29,17-07-17,23-07-17,43,43,,0,0,0,0,0,0,0,0,0,0,43,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,30,24-07-17,30-07-17,43,43,,0,0,0,0,0,0,0,0,0,0,43,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,31,31-07-17,06-08-17,30,30,,0,0,0,0,0,0,0,0,0,0,30,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,32,07-08-17,13-08-17,47,47,,0,0,0,0,0,0,0,0,0,0,47,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,33,14-08-17,20-08-17,36,36,,0,0,0,0,0,0,0,0,0,0,36,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,34,21-08-17,27-08-17,42,42,,0,0,0,0,0,0,0,0,0,0,42,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,35,28-08-17,03-09-17,33,33,,0,0,0,0,0,0,0,0,0,0,33,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,36,04-09-17,10-09-17,23,23,,0,0,0,0,0,0,0,0,0,0,23,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2017,37,11-09-17,17-09-17,47,47,,0,0,0,0,0,0,0,0,0,0,47,No Report
