Day of Week Ending,Lineage Bin,Modeltype,Usa Or Hhsregion,Variant,95CI,Share
08-May-21,VOC,weighted,USA,B.1.617.2,1.3-2.1%,0.016683605
08-May-21,VOC,weighted,USA,B.1.1.529,,0
08-May-21,VOC,weighted,1,B.1.617.2,1.1-2.1%,0.015262251
08-May-21,VOC,weighted,1,B.1.1.529,,0
08-May-21,VOC,weighted,2,B.1.617.2,0.9-4.1%,0.020738577
08-May-21,VOC,weighted,2,B.1.1.529,,0
08-May-21,VOC,weighted,3,B.1.617.2,0.3-1.3%,0.006847575
08-May-21,VOC,weighted,3,B.1.1.529,,0
08-May-21,VOC,weighted,4,B.1.617.2,1.1-2.7%,0.017963726
08-May-21,VOC,weighted,4,B.1.1.529,,0
08-May-21,VOC,weighted,5,B.1.617.2,0.6-1.5%,0.009359216
08-May-21,VOC,weighted,5,B.1.1.529,,0
08-May-21,VOC,weighted,6,B.1.617.2,1.3-3.7%,0.022867464
08-May-21,VOC,weighted,6,B.1.1.529,,0
08-May-21,VOC,weighted,7,B.1.617.2,0.1-2.7%,0.006441358
08-May-21,VOC,weighted,7,B.1.1.529,,0
08-May-21,VOC,weighted,8,B.1.617.2,1.9-4.9%,0.03134219
08-May-21,VOC,weighted,8,B.1.1.529,,0
08-May-21,VOC,weighted,9,B.1.617.2,1.5-5.3%,0.02957545
08-May-21,VOC,weighted,9,B.1.1.529,,0
08-May-21,VOC,weighted,10,B.1.617.2,0.3-4.6%,0.015006829
08-May-21,VOC,weighted,10,B.1.1.529,,0
08-May-21,Other,weighted,USA,Other*,97.9-98.7%,0.983316422
08-May-21,Other,weighted,1,Other*,97.9-98.9%,0.984737754
08-May-21,Other,weighted,2,Other*,95.9-99.1%,0.979261398
08-May-21,Other,weighted,3,Other*,98.7-99.7%,0.99315244
08-May-21,Other,weighted,4,Other*,97.3-98.9%,0.982036293
08-May-21,Other,weighted,5,Other*,98.5-99.4%,0.990640759
08-May-21,Other,weighted,6,Other*,96.3-98.7%,0.977132559
